53410.725537	-6.42457	0.00158
53410.750724	-6.42760	0.00158
53412.732968	-6.61754	0.00178
53542.554647	-6.43757	0.00276
53764.875570	-6.49020	0.00173
53765.779982	-6.42867	0.00166
54166.758756	-6.46572	0.00159
54168.742727	-6.60277	0.00202
54170.746496	-6.44605	0.00152
54172.764332	-6.56071	0.00152
54174.726235	-6.50707	0.00163
54229.652114	-6.46689	0.00307
54231.664769	-6.54597	0.00256
54232.559019	-6.61496	0.00190
54234.598066	-6.44116	0.00316
54254.493249	-6.54019	0.00265
54259.550772	-6.58628	0.00221
54568.647269	-6.53749	0.00191
54569.640520	-6.60856	0.00138
54570.648595	-6.55564	0.00171
55325.571974	-6.58948	0.00253
55577.838644	-6.50951	0.00207
55580.784534	-6.59489	0.00227
55586.829408	-6.51970	0.00167
55587.842698	-6.41890	0.00173
55616.703495	-6.54845	0.00129
55637.714149	-6.46446	0.00226
55657.704287	-6.55822	0.00175
55658.726448	-6.61764	0.00276
55659.606019	-6.55516	0.00316
55660.662655	-6.44801	0.00167
55662.628820	-6.58349	0.00136
55663.657096	-6.61054	0.00175
55685.596119	-6.58948	0.00165
55686.566390	-6.61100	0.00191
55690.670990	-6.61621	0.00226
55692.639087	-6.44475	0.00244
55693.560870	-6.48774	0.00184
55695.513106	-6.61786	0.00184
55714.590148	-6.51440	0.00151
55945.872673	-6.62038	0.00225
55947.857270	-6.45361	0.00267
55948.841893	-6.50988	0.00176
56005.704890	-6.57270	0.00185
56006.681664	-6.45683	0.00241
56007.675207	-6.47036	0.00291
56008.688587	-6.56441	0.00302
56009.754245	-6.61010	0.00187
56020.644924	-6.43282	0.00260
56051.689679	-6.51262	0.00248
56052.530097	-6.43495	0.00266
56053.501755	-6.48342	0.00253
56054.588635	-6.59068	0.00386
56055.573461	-6.59932	0.00242
56056.626337	-6.45720	0.00222
56057.485811	-6.42548	0.00198
56058.524010	-6.51691	0.00261
56059.607215	-6.60978	0.00181
56060.575567	-6.54854	0.00355
56061.589262	-6.43499	0.00256
56062.561883	-6.46946	0.00236
56080.511699	-6.44618	0.00170
56318.829398	-6.58097	0.00212
56319.790147	-6.61293	0.00312
56365.732344	-6.54633	0.00203
56385.740518	-6.46192	0.00253
56696.877943	-6.60508	0.00130
56723.694284	-6.53963	0.00192
56727.758738	-6.50879	0.00220
56738.742879	-6.59142	0.00143
56763.650168	-6.47696	0.00123
